Network,Run,Average Score,Clustering,Crossover,Gini,Initial Clustering,Initial Path Length,Path Length,Step,NumAgents
Forest Agta,0,10565,0.675834786,1,0.066842279,0,0,2.032656023,320,53
Forest Agta,1,8917,0.675834786,1,0.206791776,0,0,2.032656023,14,53
Forest Agta,2,11166,0.675834786,1,0.117029797,0,0,2.032656023,166,53
Forest Agta,3,11154,0.675834786,1,0.092597291,0,0,2.032656023,271,53
Forest Agta,4,10134,0.675834786,1,0.016458699,0,0,2.032656023,310,53
Forest Agta,5,13661,0.675834786,1,0.199490907,0,0,2.032656023,42,53
Forest Agta,6,13600,0.675834786,1,0.225302442,0,0,2.032656023,20,53
Forest Agta,7,16324,0.675834786,1,0.311156626,0,0,2.032656023,17,53
Forest Agta,8,11961,0.675834786,1,0.192982539,0,0,2.032656023,21,53
Forest Agta,9,9751,0.675834786,1,0.082774287,0,0,2.032656023,31,53
Forest Agta,10,11834,0.675834786,1,0.125222815,0,0,2.032656023,624,53
Forest Agta,11,13484,0.675834786,1,0.230084013,0,0,2.032656023,21,53
Forest Agta,12,9944,0.675834786,1,0.126975212,0,0,2.032656023,32,53
Forest Agta,13,10735,0.675834786,1,0.078930671,0,0,2.032656023,36,53
Forest Agta,14,9793,0.675834786,1,0.135757347,0,0,2.032656023,27,53
Forest Agta,15,13704,0.675834786,1,0.159628369,0,0,2.032656023,607,53
Forest Agta,16,12155,0.675834786,1,0.222903844,0,0,2.032656023,51,53
Forest Agta,17,13466,0.675834786,1,0.241724091,0,0,2.032656023,91,53
Forest Agta,18,8582,0.675834786,1,0.215466334,0,0,2.032656023,6,53
Forest Agta,19,12562,0.675834786,1,0.192575392,0,0,2.032656023,49,53
Forest Agta,20,9076,0.675834786,1,0.196824301,0,0,2.032656023,29,53
Forest Agta,21,8444,0.675834786,1,0.212968011,0,0,2.032656023,27,53
Forest Agta,22,16084,0.675834786,1,0.122047928,0,0,2.032656023,92,53
Forest Agta,23,10134,0.675834786,1,0.016458699,0,0,2.032656023,165,53
Forest Agta,24,9964,0.675834786,0,0,0,0,2.032656023,1000,53
Forest Agta,25,11166,0.675834786,1,0.117029797,0,0,2.032656023,15,53
Forest Agta,26,15282,0.675834786,1,0.16734449,0,0,2.032656023,11,53
Forest Agta,27,19736,0.675834786,1,0.300636324,0,0,2.032656023,275,53
Forest Agta,28,16496,0.675834786,1,0.214423622,0,0,2.032656023,286,53
Forest Agta,29,14292,0.675834786,1,0.281426738,0,0,2.032656023,18,53
Forest Agta,30,9678,0.675834786,1,0.060382037,0,0,2.032656023,57,53
Forest Agta,31,14171,0.675834786,1,0.192311431,0,0,2.032656023,10,53
Forest Agta,32,11676,0.675834786,1,0.139938723,0,0,2.032656023,49,53
Forest Agta,33,11494,0.675834786,1,0.110508846,0,0,2.032656023,265,53
Forest Agta,34,10886,0.675834786,1,0.284072671,0,0,2.032656023,8,53
Forest Agta,35,9964,0.675834786,0,0,0,0,2.032656023,1000,53
Forest Agta,36,10984,0.675834786,1,0.082349627,0,0,2.032656023,287,53
Forest Agta,37,10474,0.675834786,1,0.045935848,0,0,2.032656023,283,53
Forest Agta,38,12174,0.675834786,1,0.137007108,0,0,2.032656023,134,53
Forest Agta,39,9964,0.675834786,0,0,0,0,2.032656023,1000,53
Forest Agta,40,7914,0.675834786,1,0.239842457,0,0,2.032656023,15,53
Forest Agta,41,15574,0.675834786,1,0.13593047,0,0,2.032656023,568,53
Forest Agta,42,12854,0.675834786,1,0.152716576,0,0,2.032656023,830,53
Forest Agta,43,8146,0.675834786,1,0.189443598,0,0,2.032656023,13,53
Forest Agta,44,12174,0.675834786,1,0.137007108,0,0,2.032656023,665,53
Forest Agta,45,10814,0.675834786,1,0.071186547,0,0,2.032656023,44,53
Forest Agta,46,10559,0.675834786,1,0.123460805,0,0,2.032656023,14,53
Forest Agta,47,10474,0.675834786,1,0.045935848,0,0,2.032656023,126,53
Forest Agta,48,7872,0.675834786,1,0.231966176,0,0,2.032656023,17,53
Forest Agta,49,10225,0.675834786,1,0.039577432,0,0,2.032656023,80,53
Forest Agta,50,9751,0.675834786,1,0.082774287,0,0,2.032656023,44,53
Forest Agta,51,15700,0.675834786,1,0.270515563,0,0,2.032656023,793,53
Forest Agta,52,10686,0.675834786,1,0.203521448,0,0,2.032656023,11,53
Forest Agta,53,11032,0.675834786,1,0.173662895,0,0,2.032656023,54,53
Forest Agta,54,10984,0.675834786,1,0.082349627,0,0,2.032656023,108,53
Forest Agta,55,13297,0.675834786,1,0.178916794,0,0,2.032656023,55,53
Forest Agta,56,15252,0.675834786,1,0.169400611,0,0,2.032656023,253,53
Forest Agta,57,11664,0.675834786,1,0.118248052,0,0,2.032656023,227,53
Forest Agta,58,13024,0.675834786,1,0.155156228,0,0,2.032656023,312,53
Forest Agta,59,10304,0.675834786,1,0.031751729,0,0,2.032656023,140,53
Forest Agta,60,11645,0.675834786,1,0.216139407,0,0,2.032656023,17,53
Forest Agta,61,13740,0.675834786,1,0.194004559,0,0,2.032656023,36,53
Forest Agta,62,14044,0.675834786,1,0.158961324,0,0,2.032656023,229,53
Forest Agta,63,10272,0.675834786,1,0.243831923,0,0,2.032656023,23,53
Forest Agta,64,10814,0.675834786,1,0.071186547,0,0,2.032656023,92,53
Forest Agta,65,11152,0.675834786,1,0.243029425,0,0,2.032656023,14,53
Forest Agta,66,10984,0.675834786,1,0.082349627,0,0,2.032656023,90,53
Forest Agta,67,15767,0.675834786,1,0.153566501,0,0,2.032656023,19,53
Forest Agta,68,13285,0.675834786,1,0.16518559,0,0,2.032656023,159,53
Forest Agta,69,10055,0.675834786,1,0.024296558,0,0,2.032656023,215,53
Forest Agta,70,11154,0.675834786,1,0.092597291,0,0,2.032656023,585,53
Forest Agta,71,10290,0.675834786,1,0.221845719,0,0,2.032656023,16,53
Forest Agta,72,12174,0.675834786,1,0.137007108,0,0,2.032656023,927,53
Forest Agta,73,15234,0.675834786,1,0.143596375,0,0,2.032656023,781,53
Forest Agta,74,10728,0.675834786,1,0.213994766,0,0,2.032656023,27,53
Forest Agta,75,12470,0.675834786,1,0.259887125,0,0,2.032656023,7,53
Forest Agta,76,10644,0.675834786,1,0.059064191,0,0,2.032656023,155,53
Forest Agta,77,13594,0.675834786,1,0.212788106,0,0,2.032656023,12,53
Forest Agta,78,16080,0.675834786,1,0.368565193,0,0,2.032656023,13,53
Forest Agta,79,11105,0.675834786,1,0.123062024,0,0,2.032656023,16,53
Forest Agta,80,17035,0.675834786,1,0.301585526,0,0,2.032656023,146,53
Forest Agta,81,15234,0.675834786,1,0.143596375,0,0,2.032656023,877,53
Forest Agta,82,13230,0.675834786,1,0.197119183,0,0,2.032656023,59,53
Forest Agta,83,14420,0.675834786,1,0.18396619,0,0,2.032656023,28,53
Forest Agta,84,13297,0.675834786,1,0.178916794,0,0,2.032656023,64,53
Forest Agta,85,18590,0.675834786,1,0.222594822,0,0,2.032656023,439,53
Forest Agta,86,10127,0.675834786,1,0.178525183,0,0,2.032656023,96,53
Forest Agta,87,12344,0.675834786,1,0.141876276,0,0,2.032656023,55,53
Forest Agta,88,11518,0.675834786,1,0.154023071,0,0,2.032656023,96,53
Forest Agta,89,10249,0.675834786,1,0.096245009,0,0,2.032656023,40,53
Forest Agta,90,10146,0.675834786,1,0.047231179,0,0,2.032656023,68,53
Forest Agta,91,15118,0.675834786,1,0.167652205,0,0,2.032656023,18,53
Forest Agta,92,9755,0.675834786,1,0.237145924,0,0,2.032656023,23,53
Forest Agta,93,11324,0.675834786,1,0.101970768,0,0,2.032656023,148,53
Forest Agta,94,9902,0.675834786,1,0.154327504,0,0,2.032656023,20,53
Forest Agta,95,14832,0.675834786,1,0.256452138,0,0,2.032656023,522,53
Forest Agta,96,9818,0.675834786,1,0.0467451,0,0,2.032656023,55,53
Forest Agta,97,10225,0.675834786,1,0.039577432,0,0,2.032656023,23,53
Forest Agta,98,10474,0.675834786,1,0.045935848,0,0,2.032656023,201,53
Forest Agta,99,10242,0.675834786,1,0.17488477,0,0,2.032656023,44,53
Forest Agta,100,10304,0.675834786,1,0.031751729,0,0,2.032656023,536,53
Forest Agta,101,10304,0.675834786,1,0.031751729,0,0,2.032656023,741,53
Forest Agta,102,13266,0.675834786,1,0.224532,0,0,2.032656023,25,53
Forest Agta,103,14662,0.675834786,1,0.254612746,0,0,2.032656023,159,53
Forest Agta,104,12277,0.675834786,1,0.167132589,0,0,2.032656023,37,53
Forest Agta,105,14499,0.675834786,1,0.178646022,0,0,2.032656023,40,53
